iter	Passed	Remaining
1027	25488	222452
1028	25509	222396
1029	25531	222347
1030	25551	222278
1031	25572	222226
1032	25601	222238
1033	25628	222231
1034	25653	222202
1035	25681	222205
1036	25704	222165
1037	25727	222132
1038	25747	222061
1039	25770	222019
1040	25795	221999
1041	25821	221986
1042	25850	221999
1043	25872	221950
1044	25887	221843
1045	25909	221790
1046	25934	221768
1047	25956	221716
1048	25982	221706
1049	26006	221674
1050	26028	221626
1051	26048	221559
1052	26068	221498
1053	26091	221456
1054	26112	221399
1055	26134	221348
1056	26158	221318
1057	26209	221514
1058	26232	221479
1059	26249	221383
1060	26269	221318
1061	26293	221290
1062	26323	221310
1063	26345	221264
1064	26365	221199
1065	26388	221154
1066	26409	221099
1067	26440	221127
1068	26459	221053
1069	26476	220970
1070	26501	220943
1071	26521	220876
1072	26547	220868
1073	26568	220807
1074	26591	220767
1075	26611	220708
1076	26641	220726
1077	26666	220701
1078	26695	220711
1079	26719	220686
1080	26743	220652
1081	26766	220614
1082	26793	220606
1083	26819	220594
1084	26844	220567
1085	26865	220515
1086	26886	220461
1087	26908	220412
1088	26925	220321
1089	26953	220329
1090	26975	220281
1091	26995	220213
1092	27016	220161
1093	27036	220098
1094	27056	220037
1095	27076	219972
1096	27097	219915
1097	27121	219886
1098	27142	219830
1099	27166	219802
1100	27185	219732
1101	27226	219834
1102	27261	219898
1103	27283	219849
1104	27303	219783
1105	27324	219736
1106	27346	219686
1107	27369	219645
1108	27390	219589
1109	27410	219530
1110	27431	219479
1111	27456	219455
1112	27485	219466
1113	27506	219407
1114	27525	219336
1115	27545	219280
1116	27565	219214
1117	27587	219170
1118	27607	219108
1119	27630	219069
1120	27656	219054
1121	27690	219105
1122	27717	219095
1123	27759	219209
1124	27789	219229
1125	27822	219265
1126	27847	219246
1127	27872	219226
1128	27900	219224
1129	27926	219212
1130	27973	219359
1131	28011	219440
1132	28051	219536
1133	28099	219690
1134	28132	219733
1135	28173	219832
1136	28201	219831
1137	28227	219819
1138	28279	220007
1139	28339	220252
1140	28362	220215
1141	28383	220156
1142	28404	220103
1143	28422	220028
1144	28447	220003
1145	28465	219923
1146	28496	219943
1147	28516	219882
1148	28537	219827
1149	28557	219769
1150	28578	219712
1151	28601	219673
1152	28622	219621
1153	28642	219563
1154	28663	219502
1155	28679	219416
1156	28700	219360
1157	28729	219367
1158	28762	219400
1159	28797	219459
1160	28824	219446
1161	28857	219486
1162	28889	219518
1163	28911	219468
1164	28930	219400
1165	28957	219389
1166	28983	219376
1167	28998	219279
1168	29013	219175
1169	29030	219095
1170	29048	219013
1171	29063	218918
1172	29079	218829
1173	29094	218732
1174	29111	218644
1175	29125	218542
1176	29140	218441
1177	29157	218356
1178	29171	218256
1179	29188	218174
1180	29210	218130
1181	29231	218071
1182	29251	218013
1183	29272	217962
1184	29319	218101
1185	29343	218070
1186	29365	218027
1187	29395	218039
1188	29414	217973
1189	29433	217908
1190	29454	217857
1191	29476	217809
1192	29504	217806
1193	29524	217747
1194	29543	217685
1195	29571	217682
1196	29591	217625
1197	29612	217570
1198	29642	217582
1199	29664	217539
1200	29685	217485
1201	29710	217464
1202	29732	217418
1203	29761	217429
1204	29789	217428
1205	29815	217411
1206	29843	217408
1207	29871	217409
1208	29902	217429
1209	29924	217387
1210	29944	217327
1211	29965	217271
1212	29987	217232
1213	30008	217175
1214	30029	217125
1215	30057	217125
1216	30082	217101
1217	30101	217039
1218	30123	216993
1219	30143	216937
1220	30163	216874
1221	30187	216848
1222	30204	216764
1223	30219	216670
1224	30239	216614
1225	30260	216564
1226	30280	216507
1227	30302	216461
1228	30329	216450
1229	30386	216661
1230	30407	216604
1231	30428	216558
1232	30454	216539
1233	30478	216509
1234	30502	216483
1235	30522	216421
1236	30546	216391
1237	30567	216340
1238	30588	216291
1239	30608	216232
1240	30625	216155
1241	30649	216126
1242	30668	216060
1243	30697	216064
1244	30716	215999
1245	30735	215938
1246	30766	215955
1247	30795	215960
1248	30818	215925
1249	30843	215906
1250	30869	215887
1251	30895	215871
1252	30922	215861
1253	30951	215867
1254	30978	215861
1255	30998	215804
1256	31019	215752
1257	31038	215690
1258	31058	215634
1259	31079	215580
1260	31101	215538
1261	31129	215540
1262	31153	215506
1263	31175	215464
1264	31195	215410
1265	31217	215362
1266	31235	215294
1267	31251	215208
1268	31269	215138
1269	31293	215113
1270	31317	215080
1271	31334	215003
1272	31360	214988
1273	31402	215085
1274	31435	215114
1275	31455	215058
1276	31478	215027
1277	31498	214971
1278	31521	214930
1279	31541	214879
1280	31561	214818
1281	31582	214767
1282	31602	214714
1283	31625	214677
1284	31644	214617
1285	31666	214572
1286	31690	214545
1287	31710	214489
1288	31731	214442
1289	31757	214422
1290	31783	214410
1291	31808	214385
1292	31833	214364
1293	31864	214380
1294	31890	214368
1295	31924	214405
1296	31943	214347
1297	31966	214311
1298	31991	214285
1299	32010	214224
1300	32034	214195
1301	32056	214154
1302	32079	214119
1303	32099	214062
1304	32118	214003
1305	32138	213944
1306	32161	213910
1307	32188	213900
1308	32208	213843
1309	32226	213774
1310	32245	213715
1311	32264	213653
1312	32281	213580
1313	32301	213525
1314	32316	213435
1315	32340	213404
1316	32360	213354
1317	32387	213341
1318	32406	213281
1319	32449	213382
1320	32483	213416
1321	32510	213407
1322	32530	213355
1323	32550	213301
1324	32571	213253
1325	32592	213203
1326	32613	213157
1327	32633	213101
1328	32656	213067
1329	32678	213022
1330	32703	213004
1331	32725	212959
1332	32752	212951
1333	32785	212982
1334	32809	212952
1335	32829	212902
1336	32852	212866
1337	32874	212821
1338	32901	212812
1339	32929	212816
1340	32956	212802
1341	32987	212822
1342	33013	212805
1343	33032	212743
1344	33056	212718
1345	33081	212694
1346	33104	212659
1347	33125	212613
1348	33146	212564
1349	33166	212511
1350	33185	212450
1351	33204	212394
1352	33225	212342
1353	33249	212315
1354	33268	212256
1355	33287	212192
1356	33310	212159
1357	33334	212132
1358	33350	212055
1359	33368	211985
1360	33399	212007
1361	33418	211945
1362	33441	211912
1363	33475	211943
1364	33525	212079
1365	33544	212024
1366	33564	211967
1367	33584	211919
1368	33605	211868
1369	33630	211847
1370	33649	211790
1371	33669	211733
1372	33687	211671
1373	33707	211619
1374	33733	211602
1375	33759	211585
1376	33793	211617
1377	33822	211625
1378	33846	211596
1379	33870	211566
1380	33890	211515
1381	33911	211468
1382	33941	211475
1383	33970	211482
1384	34012	211562
1385	34036	211535
1386	34056	211485
1387	34077	211435
1388	34098	211391
1389	34118	211338
1390	34138	211284
1391	34158	211232
1392	34177	211174
1393	34200	211140
1394	34219	211084
1395	34238	211020
1396	34260	210983
1397	34280	210930
1398	34299	210869
1399	34320	210823
1400	34343	210792
1401	34362	210732
1402	34383	210688
1403	34399	210608
1404	34412	210517
1405	34432	210464
1406	34452	210414
1407	34474	210370
1408	34496	210335
1409	34539	210421
1410	34575	210469
1411	34600	210443
1412	34620	210394
1413	34641	210350
1414	34662	210304
1415	34683	210254
1416	34705	210214
1417	34726	210174
1418	34765	210233
1419	34798	210259
1420	34822	210232
1421	34842	210181
1422	34865	210151
1423	34888	210115
1424	34907	210057
1425	34928	210012
1426	34953	209992
1427	34974	209947
1428	35001	209933
1429	35028	209928
1430	35070	210007
1431	35092	209966
1432	35113	209923
1433	35135	209884
1434	35155	209831
1435	35179	209802
1436	35197	209740
1437	35218	209696
1438	35238	209641
1439	35258	209589
1440	35289	209604
1441	35315	209589
1442	35337	209552
1443	35355	209488
1444	35375	209435
1445	35393	209377
1446	35414	209330
1447	35435	209284
1448	35450	209203
1449	35466	209130
1450	35488	209093
1451	35517	209091
